Time,card_11_avg_CPU,card_12_avg_CPU,card_13_avg_CPU,card_14_avg_CPU,card_15_avg_CPU,card_16_avg_CPU,card_17_avg_CPU
03/01/2017 11:37,8.6875,7.5625,8.625,9.125,7.0625,7.125,7.4375
03/01/2017 11:38,8.875,8.0625,9.1875,9.3125,7.8125,7.5625,7.6875
03/01/2017 11:39,9.125,7.875,8.875,9.5625,7.3125,7.6875,7.875
03/01/2017 11:40,9.125,8.5,9.5,9.5,7.8125,8.1875,7.75
03/01/2017 11:41,8.9375,7.5625,8.6875,9.5625,7.4375,7.375,7.625
03/01/2017 11:42,8.6875,7.75,9.0625,9,7.125,7.625,7.6875
03/01/2017 11:43,9.3125,7.5,8.625,9.0625,7.625,7.3125,7.4375
03/01/2017 11:44,8.625,7.5625,8.6875,8.8125,7.25,7.5,7.5625
03/01/2017 11:45,9.375,8.0625,9.0625,9.1875,7.5,7.3125,7.4375
03/01/2017 11:46,9.375,8.0625,9.0625,9.1875,7.5,7.3125,7.4375
03/01/2017 11:47,9.3125,8.125,9.4375,9.25,7.625,8.25,8
03/01/2017 11:48,9.1875,8,8.9375,9.125,7.6875,7.9375,7.4375
03/01/2017 11:49,9.125,7.8125,9.0625,9.3125,7.75,7.8125,7.6875
03/01/2017 11:50,9.0625,7.75,8.6875,8.9375,7.4375,7.75,7.875
03/01/2017 11:51,9.0625,7.5625,8.8125,9.0625,7.4375,7.5625,7.1875
03/01/2017 11:52,9.25,7.875,8.75,9.3125,7.625,8.125,7.5625
03/01/2017 11:53,9.3125,8,9.25,9.4375,8.125,7.9375,7.375
03/01/2017 11:54,9.75,8.1875,9.375,9.75,7.625,8.25,7.75
03/01/2017 11:55,9.3125,8.25,9.4375,10.0625,8,8.3125,8
03/01/2017 11:56,9.875,8.25,9.625,9.75,7.875,8.5,8
03/01/2017 11:57,9.8125,8.4375,9.3125,10,8,8.375,8
03/01/2017 11:58,10.0625,8.3125,9.5,10,8.25,8.375,7.875
03/01/2017 11:59,9.5625,8.375,9.0625,9.9375,7.875,8.25,8
03/01/2017 12:00,9.5625,8.375,9.0625,9.9375,7.875,8.25,8
03/01/2017 12:01,10.25,8.5625,9.8125,10.625,8.6875,8.4375,8.1875
03/01/2017 12:02,9.625,8.3125,9.4375,10.4375,8.125,8.3125,8.1875
03/01/2017 12:03,10.0625,8.4375,9.5625,10.25,8.375,8.25,8.375
03/01/2017 12:04,9.4375,8.5,9.3125,10.375,8.3125,8.4375,8.0625
03/01/2017 12:05,9.75,8.0625,9.25,9.625,8.1875,8.3125,8.125
03/01/2017 12:06,9.625,7.8125,9.375,10.25,8.0625,8.5,7.6875
03/01/2017 12:07,10.125,8.4375,9.5,10.0625,8.25,8.5625,8.375
03/01/2017 12:08,10,8.5,9.6875,10.625,8.5,8.8125,8.3125
03/01/2017 12:09,10.25,8.875,10,10.375,8.375,8.625,8.4375
03/01/2017 12:10,9.9375,8.5625,10.125,10.6875,8.5625,8.625,8.625
03/01/2017 12:11,10,8.8125,10.0625,10.375,8.4375,8.8125,8.4375
03/01/2017 12:12,10.1875,8.625,9.9375,10.6875,8.75,8.6875,8.8125
03/01/2017 12:13,10,8.6875,10.0625,10.375,8.5625,8.9375,8.3125
03/01/2017 12:14,10,8.6875,10.0625,10.375,8.5625,8.9375,8.3125
03/01/2017 12:15,10.4375,8.9375,9.875,10.5625,8.8125,8.375,8.5625
03/01/2017 12:16,10.125,8.625,9.9375,10.5625,8.875,8.9375,8.5
03/01/2017 12:17,10.375,8.875,10.1875,10.75,8.75,8.4375,8.625
03/01/2017 12:18,10.125,8.625,10.0625,10.5,8.875,8.75,8.6875
03/01/2017 12:19,10.1875,8.9375,10.0625,10.25,8.625,8.625,8.3125
03/01/2017 12:20,10.25,8.8125,10.25,10.375,8.9375,8.625,8.625
03/01/2017 12:21,10.3125,8.9375,10,10.75,8.8125,8.8125,8.375
03/01/2017 12:22,10.25,8.625,10.125,10.375,8.8125,8.6875,8.875
03/01/2017 12:23,10.3125,8.6875,10,10.625,8.75,8.75,8.5625
03/01/2017 12:24,10.125,8.75,10.125,10.75,8.8125,8.6875,8.5
03/01/2017 12:25,10.3125,8.8125,10.125,10.6875,8.9375,8.875,8.625
03/01/2017 12:26,10,8.8125,10,10.75,8.8125,8.4375,8.5
03/01/2017 12:27,10.25,8.625,10,10.625,9.1875,8.8125,8.75
03/01/2017 12:28,10.25,8.625,10,10.625,9.1875,8.8125,8.75
03/01/2017 12:29,10.0625,9.0625,10.375,10.875,8.9375,8.375,8.5
03/01/2017 12:30,10.375,8.5625,9.9375,10.75,9,8.75,8.5625
03/01/2017 12:31,10.375,9.1875,10.125,10.8125,8.8125,8.625,8.6875
03/01/2017 12:32,10.5,9,10.0625,10.6875,9,8.875,8.5625
03/01/2017 12:33,9.875,9.0625,10.3125,10.875,8.9375,8.6875,8.4375
03/01/2017 12:34,10.0625,9.1875,10.25,10.6875,8.5,8.5625,8.5625
03/01/2017 12:35,10.1875,8.875,10.3125,10.8125,8.625,8.75,8.875
03/01/2017 12:36,10.3125,9,10.1875,10.875,8.5625,8.5625,8.625
03/01/2017 12:37,10.1875,8.9375,10,10.9375,8.8125,8.8125,8.9375
03/01/2017 12:38,10.375,9.3125,10.125,10.6875,8.5,8.75,8.6875
03/01/2017 12:39,10.125,8.75,10.0625,10.5625,8.75,8.875,8.6875
03/01/2017 12:40,10.4375,9.25,10.3125,10.5,8.75,8.75,8.75
03/01/2017 12:41,10,8.9375,10.0625,10.875,8.75,8.8125,8.5625
03/01/2017 12:42,10,8.9375,10.0625,10.875,8.75,8.8125,8.5625
03/01/2017 12:43,10.375,9.25,10.4375,10.75,8.875,8.75,8.8125
03/01/2017 12:44,10.25,9,10.25,11.0625,8.875,8.75,8.5
03/01/2017 12:45,10.625,9.25,10.25,10.75,8.875,8.75,8.875
03/01/2017 12:46,10.375,9.1875,10.25,11,8.75,8.6875,8.6875
03/01/2017 12:47,10.5625,8.9375,10.1875,10.75,9.0625,9,8.6875
03/01/2017 12:48,10.3125,9.1875,10.25,11.3125,8.5625,8.625,8.5625
03/01/2017 12:49,10.6875,8.9375,10.1875,10.625,9,8.8125,8.4375
03/01/2017 12:50,10.4375,9.3125,10.25,11.125,8.875,8.5625,8.75
03/01/2017 12:51,10.5625,8.9375,10.125,10.875,9.0625,8.75,8.4375
03/01/2017 12:52,10.125,9.0625,10.0625,11.125,8.75,8.4375,8.875
03/01/2017 12:53,10.625,8.8125,10.25,10.875,9.0625,8.6875,8.6875
03/01/2017 12:54,10.1875,9.125,10.1875,11,9.0625,9,8.6875
03/01/2017 12:55,10.375,8.8125,10.5625,10.875,9,8.8125,8.8125
03/01/2017 12:56,10.375,8.8125,10.5625,10.875,9,8.8125,8.8125
03/01/2017 12:57,10.25,9.0625,10.375,11.1875,9.125,8.875,8.5
03/01/2017 12:58,10.625,8.9375,10.3125,10.8125,8.75,8.75,8.75
03/01/2017 12:59,10.5625,8.9375,10.125,10.9375,8.75,9.0625,8.4375
03/01/2017 13:00,10.6875,9.25,10.375,11.0625,9,8.9375,8.875
03/01/2017 13:01,10.5,9.1875,10.4375,11.3125,9.0625,9.1875,8.875
03/01/2017 13:02,10.8125,9.3125,10.625,10.875,8.9375,8.75,8.875
03/01/2017 13:03,10.5,9,10.3125,11,8.75,9.25,8.8125
03/01/2017 13:04,10.8125,9.0625,10.5625,10.8125,8.9375,8.875,8.6875
03/01/2017 13:05,10.6875,8.8125,10.3125,11.125,8.6875,9.375,9.125
03/01/2017 13:06,10.8125,8.9375,10.375,11,9,8.9375,8.625
03/01/2017 13:07,10.5,8.9375,10.375,10.9375,8.75,9.1875,9.0625
03/01/2017 13:08,10.9375,8.875,10.375,10.75,8.75,8.75,8.6875
03/01/2017 13:09,10.625,8.9375,10.125,11.0625,8.6875,9.125,8.9375
03/01/2017 13:10,10.9375,8.9375,10.625,10.9375,8.875,8.8125,8.8125
03/01/2017 13:11,10.9375,8.9375,10.625,10.9375,8.875,8.8125,8.8125
03/01/2017 13:12,10.4375,9.1875,10.25,11.1875,8.9375,9.0625,8.625
03/01/2017 13:13,11,8.75,10.4375,11.1875,8.5625,8.875,8.875
03/01/2017 13:14,10.5,9.1875,10.0625,11.25,8.9375,9.125,8.4375
03/01/2017 13:15,10.875,8.6875,10.125,11.125,8.5625,9,9
03/01/2017 13:16,10.5625,9.125,10,10.9375,8.875,9.125,8.5625
03/01/2017 13:17,10.875,9.25,10.625,10.9375,8.5,9.1875,8.875
03/01/2017 13:18,10.5625,9.125,10.0625,11.0625,8.875,8.9375,8.9375
